Name,RA,Dec,V-Mag,Spectrum
HIP 25,0.0053,-44.290561,6.28,G3IV
HIP 34,0.006638,26.918108,6.43,F7.5IV-V
HIP 43,0.008593,59.559679,6.18,G9III-IV
HIP 50,0.009533,-53.097713,6.49,G1IV
HIP 63,0.012119,45.253334,6.36,B9p SiEu
Tau Phe,0.017941,-48.809876,5.71,G8III
HIP 106,0.022013,49.981558,6.22,G7II-III
HIP 107,0.022255,-50.337373,5.53,M2III
The Oct,0.026616,-77.065724,4.78,K2III
HIP 124,0.026949,61.222801,5.58,F0III
HIP 128,0.027597,73.611846,6.5,Am...
HIP 137,0.028847,42.367144,6.25,B9IIIp Mn
29    Psc,0.030402,-3.027504,5.13,B7III-IV
30    Psc,0.032672,-6.014072,4.37,M3III
85    Peg,0.036139,27.082256,5.8,G3V
Zet Scl,0.038867,-29.720414,5.04,B4V
31    Psc,0.040046,8.956824,6.33,A6V
32    Psc,0.041584,8.485463,5.7,F0V
HIP 207,0.043357,66.098966,5.87,G8III
HIP 238,0.049301,-20.045882,6.25,F6/F7V
HIP 253,0.052181,-24.145145,6.46,K1III
HIP 274,0.057143,63.64052,6.24,B3Ia
2    Cet,0.06233,-17.335988,4.55,B9IVn
HIP 302,0.064342,66.712183,6.31,M4
9    Cas,0.070462,62.287664,5.9,A1III
HIP 343,0.072165,-16.529036,5.78,K0III
HIP 345,0.07231,-29.268822,6.38,A1V
3    Cet,0.075033,-10.509523,4.99,K3Ibvar
HIP 365,0.07683,42.09253,6.11,B9III
HIP 377,0.078131,-71.436891,5.59,B8III
HIP 379,0.078304,67.166445,5.68,K1III
HIP 394,0.081573,34.659797,6.09,G2V
HIP 399,0.08222,26.648764,6.25,K4IIIb
HIP 410,0.083662,27.674784,6.47,G8II
HIP 417,0.084395,-0.503035,6.32,G9III:
HIP 418,0.085039,61.31397,5.8,B8MNp...
33    Psc,0.088928,-5.707618,4.61,K1III
86    Peg,0.094989,13.396266,5.55,G5III
HIP 518,0.104356,58.436733,5.98,G5V
HIP 522,0.105277,-49.075191,5.7,G1IV...
10    Cas,0.10737,64.196168,5.57,B9III
HIP 544,0.110209,29.021502,6.07,K0V
HIP 560,0.113911,-23.10754,6.19,F2IV
HIP 602,0.121741,-17.38699,6.2,A2IV/V
HIP 635,0.12892,-2.548679,6.43,B8IIIsp...
HIP 636,0.129693,-22.50856,5.93,A1V
HIP 655,0.134303,-33.529326,5.67,K1III
HIP 664,0.136693,-2.447711,6.18,K2III
HIP 671,0.138204,-8.824112,5.99,G8III:
Alpheratz,0.139791,29.090432,2.07,B9p
HIP 695,0.142462,63.20404,6.41,G3II
HIP 696,0.142638,-17.578155,6.11,M0/M1IIICNp
HIP 699,0.14471,36.627125,6.21,F8IV
HIP 716,0.147814,25.462985,6.24,K0III
HIP 728,0.150045,28.247543,6.47,A4Vm
87    Peg,0.150672,18.211963,5.57,G9III
HIP 730,0.15066,-54.001931,6.32,G4IV...
Caph,0.152887,59.14978,2.28,F2III-IV
HIP 760,0.155525,79.714545,6.01,A7IV
Kap1Scl,0.155851,-27.987928,5.42,F3V
Eps Phe,0.156836,-45.747426,3.88,K0III
HIP 798,0.164474,-62.296794,6.34,A6V
34    Psc,0.167278,11.145813,5.54,B9V
Gam3Oct,0.167293,-82.224047,5.29,K1/K2III
HIP 840,0.171908,-5.248588,5.84,K1III
22    And,0.172012,46.072272,5.01,F2II
HIP 873,0.178565,-12.579897,5.84,K0III
6    Cet,0.187739,-15.467977,4.89,F5V
Kap2Scl,0.192894,-27.799737,5.41,K2III
The Scl,0.195552,-35.133119,5.24,F3/F5V
HIP 967,0.199741,48.152396,6.18,K4III
HIP 983,0.202773,-17.938278,5.29,K4III
HIP 1009,0.209484,44.707195,6.5,K0
Algenib,0.220598,15.183596,2.83,B2IV
HIP 1074,0.222099,-84.993978,5.78,M0/M1III
HIP 1076,0.223312,26.987545,6.24,G0III
23    And,0.22524,41.03537,5.71,F0IV
HIP 1096,0.228401,-26.022345,5.94,K5III
HIP 1099,0.228994,-26.284959,6.14,K4III
HIP 1123,0.233967,33.206039,6.22,A1V
HIP 1158,0.241008,-7.780532,5.13,M3IIIvar
89Chi Peg,0.243378,20.206702,4.79,M2III
7    Cet,0.244005,-18.932866,4.44,M1III
HIP 1191,0.248476,-9.569571,5.77,B9V
HIP 1193,0.24886,22.284225,6.25,A1p
HIP 1195,0.249515,-34.904223,6.17,K3III
35    Psc,0.249677,8.820962,6.02,F0IV
HIP 1208,0.25193,31.535725,6.34,K5
HIP 1215,0.252934,27.28344,6.35,A1Vn
HIP 1269,0.265239,61.000172,6.43,G8III...
HIP 1268,0.265257,-75.911615,6.49,G8/K0III
HIP 1288,0.269126,-31.446394,5.66,K2III
HIP 1296,0.270527,76.950755,6.35,B9Vn
HIP 1302,0.272645,43.595049,6.12,A2V
36    Psc,0.276122,8.240154,6.12,G8II-III
HIP 1331,0.278429,-20.210061,6.5,B6III/IV
HIP 1354,0.282513,61.533185,5.74,G8III
24The And,0.284863,38.681636,4.61,A2V
HIP 1372,0.285845,47.947405,5.86,B7III
HIP 1402,0.292417,-19.051092,6.46,F3V
HIP 1415,0.295295,51.43309,6.11,O9IIInn
HIP 1421,0.296583,1.688727,6.19,K0II
HIP 1465,0.304791,11.206214,6.07,K0III
25Sig And,0.305463,36.785224,4.51,A2V
HIP 1493,0.310625,31.517227,5.88,A0IV
HIP 1499,0.311629,-8.053001,6.47,G0V
26    And,0.311712,43.791141,6.1,B8V
HIP 1502,0.31182,-43.235571,6.33,K2III
8Iot Cet,0.323799,-8.823921,3.56,K2III
HIP 1575,0.328212,40.729461,6.35,K1III
Zet Tuc,0.334142,-64.874791,4.23,F9V
HIP 1630,0.340111,30.935614,5.89,B7V
HIP 1639,0.341924,48.968633,6.46,G0
41    Psc,0.343295,8.190271,5.38,K3III
Pi  Tuc,0.344178,-69.624913,5.5,B9V
HIP 1657,0.345978,32.911186,5.79,K5III
27Rho And,0.352017,37.968603,5.16,F5III
HIP 1706,0.357986,-77.426873,5.96,K3III
Iot Scl,0.358665,-28.981469,5.18,K0III
HIP 1728,0.362853,-20.058024,5.61,M5/M6Ib/II
42    Psc,0.373745,13.482488,6.25,K3III
9    Cet,0.381051,-12.209438,6.39,G3V
HIP 1821,0.384554,-15.942556,6.43,M0III
HIP 1921,0.404348,52.019914,5.58,B5IV
HIP 1939,0.408236,-2.219064,6.08,K1III
HIP 1948,0.410599,14.315514,6.48,K0
12    Cas,0.413193,61.831057,5.38,B9III
HIP 1982,0.418445,53.046786,5.72,B9IV
44    Psc,0.423391,1.939692,5.77,G5III
Bet Hyi,0.427916,-77.254247,2.82,G2IV
Kap Phe,0.436716,-43.679829,3.93,A7V
Ankaa,0.438056,-42.305981,2.4,K0III...
HIP 2086,0.439375,-18.693632,6.24,M1III
10    Cet,0.443726,-0.049533,6.16,G8III
HIP 2159,0.454085,-25.54717,5.99,K0III
HIP 2178,0.45863,16.025483,6.44,A5
Eta Scl,0.465472,-33.007167,4.86,M2/M3III
HIP 2213,0.466241,19.514039,6.4,K0
47    Psc,0.467475,17.893125,5.01,M3IIIvar
48    Psc,0.470195,16.445065,6.05,K5III
HIP 2225,0.470454,44.394452,5.18,A2Vs
HIP 2235,0.472236,10.189848,6.05,F6Vawvar
HIP 2237,0.472528,-20.335051,6.44,G3V
HIP 2240,0.474027,-39.915002,5.42,M0III
HIP 2256,0.478632,-50.532859,6.26,K0III
HIP 2270,0.482406,36.899694,6.28,G5III
HIP 2337,0.497748,-14.864109,6.15,F2/F3V
12    Cet,0.500655,-3.957332,5.72,M0III
28    And,0.502045,29.751557,5.2,A7III
HIP 2377,0.505534,59.977554,5.94,B9IIIn
HIP 2381,0.506293,-23.78768,5.17,A3V
