Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC0342;G;03:46:48.50;+68:05:46.9;Cam;19.77;18.79;0;9.68;;5.66;5.01;4.56;24.85;SABc;;;;23;0.000077;;;;;;;;2MASX J03464851+6805459,C 005,IRAS 03419+6756,MCG +11-05-003,PGC 013826,UGC 02847;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC0405;Neb;05:16:29.48;+34:21:22.2;Aur;50.00;30.00;;10.00;;;;;;;;;;;;;;;;;;;C 031,LBN 795;Flaming Star Nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:3
IC1613;G;01:04:47.79;+02:07:04.0;Cet;18.32;17.14;50;10.01;9.54;;;;25.00;I;;;;-233;-0.000777;;;;;;;;C 051,MCG +00-03-070,PGC 003844,UGC 00668;;Position is for the center of the bar.;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
IC2391;OCl;08:40:31.88;-53:02:07.7;Vel;29.10;;;;2.50;;;;;;6.5970;-24.927;23.256;15;0.000049;;;;;;;;C 085,MWSC 1529;omi Vel Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
IC2602;OCl;10:42:57.47;-64:23:39.1;Car;48.00;;;;;;;;;;6.5710;-17.783;10.655;17;0.000058;;;;;;;;C 102,MWSC 1841;tet Car Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
IC5146;Cl+N;21:53:28.76;+47:16:00.9;Cyg;10.00;10.00;;7.82;7.20;;;;;;1.2130;-2.910;-2.490;-5;-0.000018;;;;;;;;C 019,LBN 424,MWSC 3571;Cocoon Nebula;The position is for the included star.;;Type:1|RA:1|Dec:1|Const:99|MajAx:9|MinAx:9|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC0040;PN;00:13:01.03;+72:31:19.0;Cep;0.80;;;11.27;11.89;10.89;10.80;10.38;;;0.5041;-7.249;-1.811;-20;-0.000068;11.14;11.82;11.58;;;;HD 000826,HIP 001041,TYC 4302-01297-1;C 002,IRAS 00102+7214,PN G120.0+09.8;Bow-Tie nebula;;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar U-Mag:8|Cstar B-Mag:8|Cstar V-Mag:8
NGC0055;G;00:14:53.60;-39:11:47.9;Scl;29.85;3.05;101;8.39;8.54;6.98;6.55;6.25;22.52;SBm;;;;129;0.000430;;;;;;;;2MASX J00145360-3911478,C 072,ESO 293-050,ESO-LV 293-0500,IRAS 00125-3928,MCG -07-01-013,PGC 001014;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC0104;GCl;00:24:05.36;-72:04:53.2;Tuc;31.80;;;5.78;4.09;2.29;1.76;1.54;;;0.1951;5.250;-2.530;-17;-0.000057;;;;;;;;2MASX J00240535-7204531,C 106,MWSC 0038;47 Tuc Cluster;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC0147;G;00:33:12.12;+48:30:31.5;Cas;9.40;5.41;26;10.60;9.72;7.90;7.34;7.20;24.29;E;;;;-193;-0.000644;;;;;;;;2MASX J00331212+4830314,C 017,MCG +08-02-005,PGC 002004,UGC 00326;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
