Name,RA,Dec,V-Mag
HIP 1,0.00006,1.089009,9.1
HIP 2,0.000283,-19.49884,9.27
HIP 3,0.000335,38.859279,6.61
HIP 4,0.000569,-51.893546,8.06
HIP 5,0.000665,-40.591202,8.55
HIP 6,0.001246,3.946458,12.31
HIP 7,0.00147,20.036114,9.64
HIP 8,0.001823,25.886461,9.05
HIP 9,0.002355,36.585958,8.59
HIP 10,0.002424,-50.866976,8.59
HIP 11,0.002488,46.939997,7.34
HIP 12,0.002727,-35.960225,8.43
HIP 13,0.00278,-22.594705,8.8
HIP 14,0.003228,-0.36045,7.25
HIP 15,0.003356,50.791187,8.6
HIP 17,0.003401,-40.192392,8.15
HIP 16,0.003469,-54.914363,11.71
HIP 18,0.003522,-4.05368,11.03
HIP 19,0.003554,38.30405,6.53
HIP 20,0.004203,23.529228,8.51
HIP 21,0.004426,8.007234,7.55
HIP 22,0.004674,-49.352266,8.69
HIP 23,0.004971,13.312234,7.57
HIP 24,0.005091,-23.452695,9.05
HIP 25,0.0053,-44.290561,6.28
HIP 26,0.005606,-13.393378,9.13
HIP 27,0.00572,-41.297813,9.32
HIP 28,0.005815,-43.361821,8.83
HIP 29,0.006146,-49.107945,9.14
HIP 30,0.006408,42.141474,8.26
HIP 31,0.006539,2.675477,7.63
HIP 32,0.006572,51.939487,9.09
HIP 33,0.006611,-10.462385,8.1
HIP 34,0.006638,26.918108,6.43
HIP 35,0.006864,-14.490484,9.07
HIP 36,0.006893,12.267128,7.68
HIP 37,0.007022,-47.179567,10.44
HIP 38,0.007429,-79.061983,8.65
HIP 39,0.007485,-16.697009,7.46
HIP 41,0.007771,54.302236,8.7
HIP 40,0.008131,67.216783,10.61
HIP 42,0.008362,25.844765,8.2
HIP 43,0.008593,59.559679,6.18
HIP 44,0.00885,-3.306323,7.91
HIP 45,0.008941,-72.202717,9.59
HIP 46,0.008972,-25.622285,8.57
HIP 47,0.009006,-56.835602,10.78
HIP 48,0.009015,-40.690474,7.31
HIP 49,0.009304,16.669049,9.53
HIP 50,0.009533,-53.097713,6.49
HIP 51,0.009561,1.066213,8.94
HIP 52,0.009781,-77.020116,8.56
HIP 53,0.009828,-29.263414,10.96
HIP 54,0.01017,17.968908,10.57
HIP 55,0.010549,-66.683173,7.4
HIP 56,0.010862,0.222931,8.12
HIP 57,0.011212,-69.675965,8.27
HIP 58,0.011577,62.175898,7.05
HIP 59,0.01163,55.72246,9.09
HIP 60,0.011695,-64.465799,8.34
HIP 61,0.011749,53.822146,8.86
HIP 62,0.011998,-45.422739,8.27
HIP 63,0.012119,45.253334,6.36
HIP 64,0.012305,-27.907582,8.08
HIP 65,0.012498,-54.830524,11.0
HIP 66,0.012567,-72.31822,8.55
