Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
IC4715;*Ass;18:16:56.12;-18:30:52.4;Sgr;120.00;60.00;90;;4.50;;;;;;;;;;;;;;024;;;;;Small Sgr Star Cloud;Milky Way star cloud.;;Type:1|RA:1|Dec:1|Const:99|MajAx:2|MinAx:2|PosAng:2|V-Mag:10
IC4725;OCl;18:31:46.77;-19:06:53.8;Sgr;14.10;;;5.29;4.60;;;;;;1.5043;-1.720;-6.101;3;0.000010;;;;025;;;;MWSC 2940;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC0205;G;00:40:22.08;+41:41:07.1;And;16.22;9.59;170;8.90;8.15;6.45;5.87;5.59;23.78;E;;;;-246;-0.000820;;;;110;;;;2MASX J00402207+4141070,IRAS 00376+4124,MCG +07-02-014,PGC 002429,UGC 00426;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC0221;G;00:42:41.83;+40:51:55.0;And;7.74;4.86;170;8.89;8.13;6.28;5.37;5.10;22.17;E;;-17.000;-5.000;-199;-0.000664;;;;032;;;;2MASX J00424182+4051546,IRAS 00399+4035,MCG +07-02-015,PGC 002555,UGC 00452;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC0224;G;00:42:44.35;+41:16:08.6;And;177.83;69.66;35;4.29;3.44;2.09;1.28;0.98;23.63;Sb;6.0000;;;-300;-0.001000;;;;031;;;;2MASX J00424433+4116074,IRAS 00400+4059,MCG +07-02-016,PGC 002557,UGC 00454;Andromeda Galaxy;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:2|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|Pax:2|RadVel:2|Redshift:2
NGC0581;OCl;01:33:21.81;+60:39:28.8;Cas;4.50;;;7.72;7.40;;;;;;0.3730;-1.384;-0.497;-46;-0.000152;;;;103;;;;MWSC 0124;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
NGC0598;G;01:33:50.89;+30:39:36.8;Tri;62.09;36.73;23;6.35;5.79;5.04;4.35;4.10;23.61;Sc;;;;-179;-0.000598;;;;033;;;;2MASX J01335090+3039357,IRAS 01310+3024,MCG +05-04-069,PGC 005818,UGC 01117;Triangulum Galaxy,Triangulum Pinwheel;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC0628;G;01:36:41.75;+15:47:01.2;Psc;9.89;9.33;87;9.71;9.31;7.63;7.04;6.85;23.37;Sc;;;;655;0.002188;;;;074;;;;2MASX J01364177+1547004,IRAS 01340+1532,MCG +03-05-011,PGC 005974,UGC 01149;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:3|MinAx:3|PosAng:3|B-Mag:3|V-Mag:3|J-Mag:2|H-Mag:2|K-Mag:2|SurfBr:3|Hubble:3|RadVel:2|Redshift:2
NGC0650;PN;01:42:19.69;+51:34:31.7;Per;1.12;;;12.20;10.10;;;;;;;-0.254;-4.165;-24;-0.000079;;;17.48;076;0651;;;2MASX J01421808+5134243,IRAS 01391+5119,PN G130.9-10.5;Barbell Nebula,Cork Nebula,Little Dumbbell Nebula;The 2MASX position is centered on a superposed star.;;Type:1|RA:1|Dec:1|Const:99|MajAx:8|B-Mag:3|V-Mag:3|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2|Cstar V-Mag:8
NGC1039;OCl;02:42:07.40;+42:44:46.1;Per;22.50;;;5.37;5.20;;;;;;1.9536;0.726;-5.732;-10;-0.000033;;;;034;;;;MWSC 0223;;;;Type:1|RA:1|Dec:1|Const:99|MajAx:5|B-Mag:2|V-Mag:2|Pax:2|Pm-RA:2|Pm-Dec:2|RadVel:2|Redshift:2
