Name,RA,Dec,V-Mag,Type
Sun,0,0,-26.74,STAR
Mercury,0,0,-0.6,PLANET
Venus,0,0,-4.4,PLANET
Earth,0,0,-,PLANET
Mars,0,0,-2.0,PLANET
Jupiter,0,0,-2.7,PLANET
Saturn,0,0,-0.2,PLANET
Uranus,0,0,5.3,PLANET
Neptune,0,0,7.7,PLANET
Pluto,0,0,14.0,DWARF_PLANET
Ceres,0,0,6.9,DWARF_PLANET
Vesta,0,0,5.3,ASTEROID
Pallas,0,0,6.5,ASTEROID
Juno,0,0,7.5,ASTEROID
Moon,0,0,-12.7,MOON
Phobos,0,0,9.0,MOON
Deimos,0,0,10.0,MOON
Io,0,0,5.0,MOON
Europa,0,0,5.3,MOON
Ganymede,0,0,4.6,MOON
Callisto,0,0,5.0,MOON
Titan,0,0,8.0,MOON
Enceladus,0,0,10.0,MOON
Triton,0,0,10.0,MOON
Halley,0,0,5.0,COMET
Hale-Bopp,0,0,-0.5,COMET
Hyakutake,0,0,3.0,COMET
ISON,0,0,4.0,COMET
Churyumov-Gerasimenko,0,0,10.0,COMET
